state,date,sex,age,ethnicity,population
Johor,2022-01-01,both,overall,overall,4028.3
Johor,2022-01-01,both,overall,bumi_malay,2208.6
Johor,2022-01-01,both,overall,bumi_other,58.3
Johor,2022-01-01,both,overall,chinese,1210.1
Johor,2022-01-01,both,overall,indian,244.7
Johor,2022-01-01,both,overall,other_citizen,19.0
Johor,2022-01-01,both,overall,other_noncitizen,287.6
Johor,2022-01-01,both,0-4,overall,280.7
Johor,2022-01-01,both,0-4,bumi_malay,193.4
Johor,2022-01-01,both,0-4,bumi_other,6.2
Johor,2022-01-01,both,0-4,chinese,62.1
Johor,2022-01-01,both,0-4,indian,15.3
Johor,2022-01-01,both,0-4,other_citizen,1.8
Johor,2022-01-01,both,0-4,other_noncitizen,1.9
Johor,2022-01-01,both,5-9,overall,312.8
Johor,2022-01-01,both,5-9,bumi_malay,192.4
Johor,2022-01-01,both,5-9,bumi_other,5.0
Johor,2022-01-01,both,5-9,chinese,93.1
Johor,2022-01-01,both,5-9,indian,19.5
Johor,2022-01-01,both,5-9,other_citizen,1.0
Johor,2022-01-01,both,5-9,other_noncitizen,1.7
Johor,2022-01-01,both,10-14,overall,337.4
Johor,2022-01-01,both,10-14,bumi_malay,204.4
Johor,2022-01-01,both,10-14,bumi_other,5.5
Johor,2022-01-01,both,10-14,chinese,102.7
Johor,2022-01-01,both,10-14,indian,22.4
Johor,2022-01-01,both,10-14,other_citizen,1.1
Johor,2022-01-01,both,10-14,other_noncitizen,1.2
Johor,2022-01-01,both,15-19,overall,331.9
Johor,2022-01-01,both,15-19,bumi_malay,192.7
Johor,2022-01-01,both,15-19,bumi_other,5.5
Johor,2022-01-01,both,15-19,chinese,96.1
Johor,2022-01-01,both,15-19,indian,20.8
Johor,2022-01-01,both,15-19,other_citizen,3.0
Johor,2022-01-01,both,15-19,other_noncitizen,13.9
Johor,2022-01-01,both,20-24,overall,392.6
Johor,2022-01-01,both,20-24,bumi_malay,200.4
Johor,2022-01-01,both,20-24,bumi_other,5.0
Johor,2022-01-01,both,20-24,chinese,104.0
Johor,2022-01-01,both,20-24,indian,21.3
